date,prices,market_caps,total_volumes
2018-09-18,107.2102626657708,1760946339.5917118,42758498.147620104
2018-09-19,112.44852824074005,1845421854.8175814,38536233.21589639
2018-09-20,109.57619675829388,1799328444.792678,35046537.79135536
2018-09-21,116.10703195079546,1906890483.177388,37063206.249324635
2018-09-22,123.74228266652852,2032617683.024599,46713511.36761367
2018-09-23,122.7109767705005,2016022190.1062138,28431294.12586838
2018-09-24,122.76319707804349,2021154410.8279872,52478408.561794415
2018-09-25,115.17900940412103,1892993021.1801827,32223209.56925721
2018-09-26,116.49454834578049,1914869305.7731326,30022167.944443956
2018-09-27,115.42353503846398,1897446321.3073828,29035299.681371845
2018-09-28,119.51742903552227,1965172900.6701345,40555186.65155353
2018-09-29,116.9612255816582,1923875848.130674,37479780.83062777
2018-09-30,114.82999938622038,1888712864.3446138,39217694.204360016
2018-10-01,116.21199509206927,1911857179.6315558,30353471.77173818
2018-10-02,114.62215800201189,1886869247.0393193,23507188.63289638
2018-10-03,116.74723932395493,1921266426.5790167,36275904.66536972
2018-10-04,114.8442609311198,1891751297.6953566,28715375.513182916
2018-10-05,114.78932156400136,1889644847.6574569,27724179.824456785
2018-10-06,115.10727079718615,1894890805.1811802,23177771.425864875
2018-10-07,115.20383546768763,1896876208.8375337,25798743.73797931
2018-10-08,113.5813882979914,1870852806.3605351,27319265.910798866
2018-10-09,114.34783666478924,1883645997.4335008,110604466.74995391
2018-10-10,113.71729607501186,1873347242.084331,38922888.330662526
2018-10-11,113.71213304105582,1873826081.7823923,168305106.0209527
2018-10-12,102.32393207892332,1687187606.312724,392783968.7509677
2018-10-13,102.80019747342426,1689353046.1031265,296068722.3587801
2018-10-14,104.71364024373312,1726284896.9756038,525248244.9692022
2018-10-15,101.45868482238332,1674501844.9715009,380622369.97590214
2018-10-16,106.41170920627088,1755042905.610369,292537683.56190246
2018-10-17,107.8132650055855,1778231661.0756783,341151844.28211427
2018-10-18,108.39475045016714,1788083500.91615,19771437.730091218
2018-10-19,103.55409033074399,1707624955.2226753,255607814.78971544
2018-10-20,105.08976185188254,1733387202.2441096,332927570.1775829
