date,bitcoin_total_volumes,ethereum_total_volumes,tether_total_volumes,ripple_total_volumes,solana_total_volumes,terra-luna_total_volumes,cardano_total_volumes,avalanche-2_total_volumes,stellar_total_volumes,monero_total_volumes
2021-01-28,51514291052.43235,38752412145.036766,82157957940.68674,2101770534.4904563,,,1845484838.6889033,,644998996.4464632,555624008.1359462
2021-01-29,51075972572.459564,32668893126.715786,140262643568.02084,2031290320.2196462,,,2103438290.658315,,1434707332.8787496,533367712.2528624
2021-01-30,97468515525.42249,49454503567.54182,87677250379.13432,5439789951.901406,,,2586671468.5068235,,4780310770.319037,439777621.23643184
2021-01-31,52001249491.10806,29581914651.14533,77589141304.68518,19414333088.879105,,,2354964351.045102,,3660945625.76241,417097444.36556894
2021-02-01,42488649643.23183,24723054987.874157,87376525506.66808,18464504612.211376,,,1922223620.153523,,2145624846.0750735,468392026.4173824
2021-02-02,49268860242.66622,28544048877.677177,86161399686.68977,25326949014.716194,,,3203513341.743772,,3397795041.1913276,495475898.66502976
2021-02-03,50730704376.60918,42952410181.632454,80620809731.1088,8890335318.020376,,,5151435047.757959,,2040711573.3302588,423543188.95324135
2021-02-04,49762137494.206696,42202356538.206825,96063694555.143,5814855434.455073,,,2963647375.4718184,,1415384966.5115314,438537066.4512172
2021-02-05,54494811707.23047,42668487953.81155,88244095697.45523,8167579932.513847,,,2526990155.5630846,,1372840515.936,465747896.27652556
2021-02-06,47446256481.71452,39147540640.174576,88304160292.66365,6193490021.851766,,,5138347917.095156,,2067019575.5301666,391614612.54035753
2021-02-07,57076868562.48764,36776919163.51647,100586645553.91893,4764275824.040723,,,6225004469.82153,,2179349111.100611,393922737.5938987
2021-02-08,53802559038.8092,38849634841.44165,119093931026.51341,4600927431.562356,,,8483795430.597777,,3829102420.3830404,489592169.29896504
2021-02-09,86994225365.2278,45540524354.89187,120396047618.69061,4843449977.613201,,,6526446442.153341,,2130425397.4387743,896234152.812728
2021-02-10,78828431117.05534,42127693213.60732,127287128355.97937,5664958932.603473,,,4430904463.339153,,1715358060.059111,651265823.183708
2021-02-11,70000356395.81508,40563120176.97226,105042899243.6551,9594865064.681908,,,10892994885.217123,,3040157259.823537,782938778.6764174
2021-02-12,66187179918.887886,33868453070.396435,107178685500.87315,5044099241.561654,,,7257994780.916856,,3048405470.1474376,979261092.6614561
2021-02-13,61942185128.99905,36105354379.40371,108239708913.8269,8414105411.093184,,,5275893428.661645,,3434142327.8141627,1359498376.756717
2021-02-14,55312381649.33813,33305061601.17683,98377990878.4068,8313557340.693602,,,4440592841.183854,,4271850049.339823,941216176.0804152
2021-02-15,57738376570.131905,30218599726.89195,115699648181.2932,6924719591.747257,,,4315179193.353438,,2794721198.0937138,969594316.2385211
2021-02-16,61061855793.76279,37652347195.44906,101810739531.31964,7365881442.587182,,,6170566197.389213,,2984599288.107589,826190974.3892723
2021-02-17,64141133353.975624,33252538989.620327,103048013177.70648,6802700451.816495,,,4708239792.834361,,1916635789.7105656,1185812022.5809965
2021-02-18,68478739131.4286,33582379213.069286,97785999949.23138,6208398652.824409,,,4147966953.0311294,,1764759459.5528564,920455394.3127444
2021-02-19,58486508605.55778,34799956643.698685,118559600571.5314,5131652517.088255,,,4727330677.658762,,1647389258.7951796,1046827106.7885633
2021-02-20,71397235196.83829,34796767875.96328,136195625535.18416,6614816653.231531,,,4500915018.129318,,1717452707.6137326,1043210638.077287
2021-02-21,77351787996.10461,44957939435.53464,114500959703.86371,6373516533.454249,,,10595397192.580061,,2082739775.7404797,922130298.4155465
2021-02-22,61223272210.96276,33064349740.90669,170201717747.032,5724101112.7970705,,,6593642966.007436,,1617728885.3462694,1048701675.4685202
2021-02-23,101532021847.06647,53799590366.036766,194421864595.4662,15576169123.11184,,,9804462887.606747,,2370383038.47894,1258615777.5128925
2021-02-24,116689607925.81473,62714754623.34122,130287922403.37346,12601693025.426659,,,9841922168.551193,,2816264372.9715853,907910715.7613755
2021-02-25,73140585468.96529,40313400449.155266,102931863403.14032,6628251875.245143,,,7999062191.744385,,1601490733.5390866,714769848.2129292
2021-02-26,60355381275.54549,31736119376.25847,130682746510.06456,5374923641.563785,,,7725767289.384969,,1117538215.0230033,810101705.222994
2021-02-27,74357197463.7094,36682073651.905846,93002675832.32587,6481821746.793152,,,13328352966.640017,,1424084868.3841243,735549952.5431657
2021-02-28,50989764248.82767,28221473460.214203,114592683043.66782,4674293764.747475,,,17436012662.324448,,2631683357.696171,933569598.6829852
2021-03-01,59679588927.08056,35420463945.47327,105652635751.60808,4487418197.58171,,,14237710595.243414,,1743037489.2539632,715295637.716114
2021-03-02,63218569171.598305,31604939381.863796,95192365145.85048,3457084099.710941,,,9327929929.517141,,1214314919.452067,698379000.8016189
2021-03-03,53499537416.816475,29049758215.725,97874443745.56467,3237450086.7149215,,,6918648225.014435,,1245349746.2783518,751323969.270465
2021-03-04,59212268141.16633,30352405292.089714,106263564693.55008,3428688631.9957685,,,4665067737.673394,,1146364385.9593294,784005108.5102026
2021-03-05,60749587836.169136,29848246930.850037,94999863454.56818,5945941442.735083,,,6490723520.273779,,1045746006.6952007,671118696.2354348
2021-03-06,56568112294.26829,28537887161.018692,76330557958.97618,4145638369.123248,,,6987637522.385762,,902035319.6546645,722669187.2547668
2021-03-07,41478786533.38212,31094969328.98433,77905261747.05516,2805029015.7978253,,,4637649584.631506,,644575692.3846859,642584907.6770407
2021-03-08,46146324828.48082,29416647567.957836,93938027402.28143,2490033476.6694694,,,4460411320.369372,,771651277.6747172,752031357.3361751
2021-03-09,53568946625.62234,35353973627.380775,100527600052.33662,3582893865.7216153,,,3837785843.2315207,,804898503.1296997,653232353.6718318
2021-03-10,57418251743.06042,31147565432.965343,102564465265.42084,3069391216.7494736,,,5116872043.446383,,980352046.5416837,646089438.1639066
2021-03-11,63560545036.79726,31746963272.74199,103544909716.3677,3357543728.4252443,,,4232588270.295405,,917738955.3439533,564470544.7715967
2021-03-12,64605228617.76096,31257932436.53519,104151500454.69743,3087260615.7506223,,,3648463949.8036437,,837736745.5270373,585755902.1052033
2021-03-13,59984971691.807,28436574756.548508,110974728095.68736,3230733051.0779204,,,4091220904.183962,,866882214.8278424,660500425.2237898
2021-03-14,67332756651.27568,32785949401.529545,89031352800.74438,3242064887.3609934,,,5574966052.413064,,1042144463.8252091,683038740.6459404
2021-03-15,48104078384.27405,26379565439.25233,115152243544.5161,2509836806.132479,,,3873912799.3651237,,726403656.5816927,768831658.4681199
2021-03-16,70594488699.70683,32950345872.852455,103867884971.96565,3253641646.0078254,,,4425930270.171271,,915685375.9081595,634559956.8332169
2021-03-17,63219904254.35453,30686971237.08834,97566273638.4185,5682003788.127116,,,8556622752.392891,,1255159896.4869688,625230285.8372079
2021-03-18,63368268626.27834,30744899541.009495,89067622560.17903,4079649095.787073,,,9359322303.77906,,906459478.8292208,593301102.5159591
2021-03-19,58387006275.72827,29651777827.921936,81485059573.29657,3352407082.331825,,,10308489296.444132,,771032960.1268748,555696717.688869
2021-03-20,51948388930.75819,27345983317.046707,82315556818.72185,2169639378.5943007,,,7537246767.764254,,722987829.5922631,541898382.4009835
2021-03-21,54549112635.671715,29495472699.399334,81063542767.85997,5375557395.352597,,,4331034923.459506,,1382390329.696951,651968594.2763793
2021-03-22,55664123837.602554,29228757709.8678,89918317301.61862,4568448767.56636,,,3952826743.0277476,,1035956729.4924941,640780877.1323428
2021-03-23,62001716794.84347,31376731220.175137,92875884664.2632,7756576662.830204,,,4024094759.5586314,,1337310404.3815079,683960667.8364357
2021-03-24,60383378707.04851,28758919428.479744,97948362051.82492,6422561790.015287,,,4313834035.689378,,951962395.7657444,622006074.5492358
2021-03-25,73029051195.05199,38413713634.36278,105238802094.74226,4542722141.91615,,,3509101233.2573314,,771658040.1064439,541646133.9868156
2021-03-26,63401640502.561295,26325124557.630264,86727658288.7391,5235387294.759055,,,5128067561.773247,,900462855.6649975,466939760.73345006
2021-03-27,55442557956.15464,24804294373.644676,80424190877.08372,5591212650.382159,,,5832300810.015615,,834738360.3408115,467946683.62234116
2021-03-28,47285749218.66506,21118379279.876865,75106778250.19618,3443735178.039274,,,3239161162.132824,,632176409.4877234,627054098.326594
2021-03-29,49315845081.42435,19859272131.74501,88932229088.80779,3064078618.6259146,,,2864842098.687992,,1281955773.150732,589624410.7547454
2021-03-30,57387039705.47129,32618518751.6075,92130603672.3376,3316079018.5024614,,,2974754356.4936566,,843731657.8648634,545918387.7211658
2021-03-31,52387542500.621956,28496809577.711266,107712875950.88474,3796053087.5094423,,,2870621694.791581,,770147065.6899593,844752689.4298699
2021-04-01,57495844477.9185,28955571443.672318,114529212306.29211,4729377042.2717085,,,3359856102.2954535,,916052540.8731014,654806248.7046221
2021-04-02,54320681400.56781,32076778812.4586,108843432225.41795,4048061361.3217688,,,2627207220.4541893,,1314764720.1839511,632606379.5441283
2021-04-03,52224918752.08043,35467665330.67185,113508035630.07138,4525145344.691889,,,3115355141.807112,,1901382080.4217465,534091699.4525719
2021-04-04,52067853987.600494,34872897876.651085,106097434674.2638,5518969358.259809,,,3541823026.093735,,1266465891.7831492,584183622.4836118
2021-04-05,46156767978.177345,26817722961.480415,133728450214.34415,4103397668.682517,,,2514927782.5973244,,1049261809.2720535,524728249.4796305
2021-04-06,54670173277.08731,30867393925.630993,144419699226.40887,21036746727.320385,,,3093929482.2078247,,3604915566.8959837,561388972.3020066
2021-04-07,61497704158.13829,33391498272.783157,151690553339.61374,29325146992.950333,,,5716309191.912532,,3755374947.627136,716432637.4967055
2021-04-08,67617613532.43307,39604003543.54452,103502487606.07144,18282720202.98182,,,4444431697.675934,,2171208617.672125,531113725.8561512
2021-04-09,48714359354.07226,27145394978.191498,94413452141.4849,11293815426.956215,,,2806106617.456021,,1399055192.1524272,551164546.2864935
2021-04-10,45880879041.76103,25076796421.07279,118138129937.97644,8727138023.869122,,,2057819055.5512838,,1098172730.66897,717256968.7740934
