date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2019-03-08,68020879276.31612,14369621725.628769,2056603393.5852566,12949586022.306864,10852976029.829046,88472661.38761121,1325890786.5651643,23344685671.64823,1626390912.9422011,826160454.99552
2019-03-09,67914021946.078575,14031460882.113087,2057756560.4682076,12752022413.294306,10781816203.272686,91223893.09847657,1317420361.2543752,24929201702.515663,1660813428.3247151,810392626.942676
2019-03-10,69292799411.19722,14428962251.829548,2059613267.7937853,12988644467.373795,10638298323.849005,89829905.68932542,1451358211.9297943,24923084977.028545,1726926738.385763,835129584.4637917
2019-03-11,68962957216.01791,14309692872.294827,2058018510.27024,12969802503.302814,10008182630.914902,91341101.23111114,1415911776.5232966,26388981039.772717,1938709758.9005046,819986453.3375733
2019-03-12,67983966610.10971,13919712301.577475,2056158426.2825854,12819357214.261234,9621683962.87426,99774693.45319049,1480451280.8265526,27230588283.504005,1958053536.9280865,821801192.6044998
2019-03-13,68203157396.32404,14031839989.199167,2057370374.5438573,12850662385.684265,9611623563.108702,98992371.51602365,1469715248.3471603,26683321650.21947,2014040280.0431726,835121794.1006936
2019-03-14,67968370343.91208,13852442749.06418,2054158370.5296948,12980064617.475113,7439425733.837019,110589445.9531007,1437571918.3395214,24315600968.615097,2065605419.8373756,841179686.8916568
2019-03-15,68177693410.06057,13903058196.646849,2058070673.8831687,12880656916.594118,7157859824.732246,114370171.22547399,1479446913.042755,24177313476.602856,2052467182.9854088,850210196.5021458
2019-03-16,69031558676.15643,14361253091.20203,2058090474.3505268,13026304156.228418,8377496849.572571,143069125.30117816,1549931684.413521,22338436181.021378,2037271692.263932,876888523.8411617
2019-03-17,70497099778.1464,14864545411.806246,2057611140.5835865,13193638994.16571,8585542319.490724,148582465.75815588,1594232228.1685922,20696494699.892445,2084438493.1013405,894812818.1277564
2019-03-18,70051219293.32379,14586546977.699165,2055749663.4965084,13059410827.740152,7985242401.768215,137245540.56470588,1546126613.137764,22489811470.519764,2084718019.4220395,872134231.5179389
2019-03-19,70152235369.2381,14504816696.08246,2059594111.0005782,13051430548.043495,7914659494.026683,161189049.76926342,1556854618.367634,21823162771.808487,2210352686.552199,872037545.1500516
2019-03-20,70618508801.77231,14588139258.964716,2056857601.5188851,13115943538.61332,8602431238.497906,166355283.72664335,1615929154.0461836,22562872205.500923,2149593301.2202897,887982217.0233537
2019-03-21,71208656536.95811,14646332154.545843,2058141051.4356868,13225810085.754425,9040653316.656572,161133296.4674867,1657947372.4696782,21067772570.09674,2110247776.4507887,918972135.0831677
2019-03-22,70175421257.0859,14226418657.384989,2056927157.9901137,12944219113.785494,9355893411.033453,163595051.5997207,1638621366.3447814,19994958998.62222,2046908036.676318,882224015.3139598
2019-03-23,70227188528.50433,14349872413.090286,2055874929.1234753,12938273099.614456,9784660089.64145,178742978.5085961,1797682146.4044712,20896784470.78652,2082105631.2431014,887585881.7095878
2019-03-24,70485598083.6817,14458951512.820686,2058923029.916303,12977887328.842228,9145093164.974165,171046324.14149088,1976001729.671846,21293276823.31495,2071884301.1079903,882787058.6056039
2019-03-25,70330401859.60312,14349083379.676003,2058377846.4799936,12839035060.35756,9219660440.797184,159154365.9465067,1902218939.5042632,19156344553.08147,2027830849.563069,887676505.7762821
