date,tether,ripple,isPartial
2022-01-16 13:00:00,22,43,False
2022-01-16 14:00:00,21,52,False
2022-01-16 15:00:00,12,51,False
2022-01-16 16:00:00,9,38,False
2022-01-16 17:00:00,17,75,False
2022-01-16 18:00:00,36,37,False
2022-01-16 19:00:00,19,74,False
2022-01-16 20:00:00,27,51,False
2022-01-16 21:00:00,32,63,False
2022-01-16 22:00:00,28,57,False
2022-01-16 23:00:00,9,90,False
2022-01-17 00:00:00,22,50,False
2022-01-17 01:00:00,42,52,False
2022-01-17 02:00:00,34,26,False
2022-01-17 03:00:00,8,48,False
2022-01-17 04:00:00,31,76,False
2022-01-17 05:00:00,9,49,False
2022-01-17 06:00:00,25,67,False
2022-01-17 07:00:00,7,31,False
2022-01-17 08:00:00,39,39,False
2022-01-17 09:00:00,13,44,False
2022-01-17 10:00:00,23,50,False
2022-01-17 11:00:00,15,44,False
2022-01-17 12:00:00,20,39,False
2022-01-17 13:00:00,37,52,False
2022-01-17 14:00:00,21,50,False
2022-01-17 15:00:00,26,64,False
2022-01-17 16:00:00,31,74,False
2022-01-17 17:00:00,16,40,False
2022-01-17 18:00:00,16,75,False
2022-01-17 19:00:00,23,35,False
2022-01-17 20:00:00,21,44,False
2022-01-17 21:00:00,35,70,False
2022-01-17 22:00:00,30,81,False
2022-01-17 23:00:00,17,89,False
2022-01-18 00:00:00,21,47,False
2022-01-18 01:00:00,20,79,False
2022-01-18 02:00:00,16,76,False
2022-01-18 03:00:00,37,64,False
2022-01-18 04:00:00,13,67,False
2022-01-18 05:00:00,9,53,False
2022-01-18 06:00:00,8,37,False
2022-01-18 07:00:00,19,27,False
2022-01-18 08:00:00,21,47,False
2022-01-18 09:00:00,10,72,False
2022-01-18 10:00:00,20,47,False
2022-01-18 11:00:00,22,55,False
2022-01-18 12:00:00,17,35,False
2022-01-18 13:00:00,8,53,False
2022-01-18 14:00:00,8,70,False
2022-01-18 15:00:00,18,43,False
2022-01-18 16:00:00,23,59,False
2022-01-18 17:00:00,32,52,False
2022-01-18 18:00:00,22,45,False
2022-01-18 19:00:00,32,47,False
2022-01-18 20:00:00,25,93,False
2022-01-18 21:00:00,27,42,False
2022-01-18 22:00:00,12,83,False
2022-01-18 23:00:00,17,74,False
2022-01-19 00:00:00,22,67,False
2022-01-19 01:00:00,17,56,False
2022-01-19 02:00:00,17,52,False
2022-01-19 03:00:00,30,40,False
2022-01-19 04:00:00,32,92,False
2022-01-19 05:00:00,31,81,False
2022-01-19 06:00:00,17,42,False
2022-01-19 07:00:00,23,50,False
2022-01-19 08:00:00,21,58,False
2022-01-19 09:00:00,13,47,False
2022-01-19 10:00:00,20,63,False
2022-01-19 11:00:00,18,44,False
2022-01-19 12:00:00,9,49,False
2022-01-19 13:00:00,8,88,False
2022-01-19 14:00:00,15,61,False
2022-01-19 15:00:00,17,53,False
2022-01-19 16:00:00,20,44,False
2022-01-19 17:00:00,11,44,False
2022-01-19 18:00:00,24,49,False
2022-01-19 19:00:00,34,61,False
2022-01-19 20:00:00,30,86,False
2022-01-19 21:00:00,16,51,False
2022-01-19 22:00:00,17,49,False
2022-01-19 23:00:00,35,67,False
2022-01-20 00:00:00,8,78,False
2022-01-20 01:00:00,8,52,False
2022-01-20 02:00:00,13,61,False
